Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)","Per capita CO2 emissions","Per capita consumption-based CO2 emissions",Total_CO2_emission,Total_population
Argentina,ARG,1922,,0.7765001994262015,,7298688,9399467
Argentina,ARG,1923,,0.868836769665236,,8445520,9720491
Argentina,ARG,1924,,1.0903569535698392,,10959024,10050859
Argentina,ARG,1925,,1.0840498118405861,,11237488.000000002,10366210
Argentina,ARG,1926,,1.0552243740895217,,11259472,10670216
Argentina,ARG,1927,,1.2181562261495338,,13373600,10978559
Argentina,ARG,1928,,1.128184110825822,,12739728.000000002,11292242
Argentina,ARG,1929,,1.1317646651218258,,13131776,11602921
Argentina,ARG,1930,,1.0731863929569474,,12769040,11898250
Argentina,ARG,1931,,1.0556708025466632,,12845984.000000002,12168551
Argentina,ARG,1932,,1.055700702771072,,13102464.000000002,12411154
Argentina,ARG,1933,,1.0475419976752718,,13234368,12633735
Argentina,ARG,1934,,1.108499129901726,,14241967.999999998,12847974
Argentina,ARG,1935,,1.0719418731715924,,14000144.000000002,13060544
Argentina,ARG,1936,,1.137045544191802,,15099344,13279454
Argentina,ARG,1937,,1.237576273246987,,16715168.000000002,13506374
Argentina,ARG,1938,,1.1894428678083233,,16352432.000000002,13747976
Argentina,ARG,1939,,1.2438326152905543,,17382016,13974562
Argentina,ARG,1940,,1.1174559430184778,,15868784.000000002,14200814
Argentina,ARG,1941,,0.9671356455557392,,13945184,14419057
Argentina,ARG,1942,,0.9200426875701111,,13483520,14655320
Argentina,ARG,1943,,0.9451274736366811,,14080752,14898257
Argentina,ARG,1944,,0.921248200317865,,13956176.000000002,15149203
Argentina,ARG,1945,,0.8871980463759854,,13670384,15408492
Argentina,ARG,1946,,0.8742025554451492,,13707024,15679460
Argentina,ARG,1947,,0.9083520107137308,,14520432.000000002,15985468
Argentina,ARG,1948,,1.0642203675688375,,17396672.000000004,16346870
Argentina,ARG,1949,,0.9176352281640382,,15370480,16750098
Argentina,ARG,1950,,1.7565179011621084,,29927552.000000004,17038000
Argentina,ARG,1951,,2.010880736055204,,34969216,17390000
Argentina,ARG,1952,,2.034683649890098,,36101392.00000001,17743000
Argentina,ARG,1953,,1.9421589477174754,,35141424,18094000
Argentina,ARG,1954,,1.993018923168682,,36757248,18443000
Argentina,ARG,1955,,2.1058883389217096,,39567536,18789000
Argentina,ARG,1956,,2.315758310683672,,44305088.00000001,19132000
Argentina,ARG,1957,,2.4454264585045196,,47617344.00000001,19472000
Argentina,ARG,1958,,2.2313223624432106,,44202496,19810000
Argentina,ARG,1959,,2.429703140992018,,48948799.4784252,20146000
Argentina,ARG,1960,,2.3808465965199326,,48764499.98992126,20482000
Argentina,ARG,1961,,2.456007600390202,,51126710.217322834,20817000
Argentina,ARG,1962,,2.535816435947918,,53640125.069606304,21153000
Argentina,ARG,1963,,2.328291684703729,,50032660.01259843,21489000
Argentina,ARG,1964,,2.550863328248568,,55670041.27569675,21824000
Argentina,ARG,1965,,2.6536484457773106,,58804849.5584252,22160000
Argentina,ARG,1966,,2.8039773566634394,,63072666.6607874,22494000
Argentina,ARG,1967,,2.8681055504604895,,65475981.61146252,22829000
Argentina,ARG,1968,,2.9786437053552013,,69009217.36566931,23168000
Argentina,ARG,1969,,3.2846700357106267,,77248869.89984252,23518000
Argentina,ARG,1970,,3.4608266505148393,,82648001.24094488,23881000
Argentina,ARG,1971,,3.662172697405405,,88844309.63905512,24260000
Argentina,ARG,1972,,3.653149089928842,,90061084.51401575,24653000
Argentina,ARG,1973,,3.750318418207782,,93967978.28661418,25056000
Argentina,ARG,1974,,3.7494849674518833,,95469386.24125986,25462000
Argentina,ARG,1975,,3.66626278056927,,94831553.08220473,25866000
Argentina,ARG,1976,,3.7946199819029105,,99665693.82467994,26265000
Argentina,ARG,1977,,3.7752104738636616,,100650886.44367908,26661000
Argentina,ARG,1978,,3.7868823468330572,,102476823.18764937,27061000
Argentina,ARG,1979,,4.0228209004047395,,110510912.9550186,27471000
Argentina,ARG,1980,,3.890023994830234,,108519999.38377903,27897000
Argentina,ARG,1981,,3.592917499455907,,101819689.01708095,28339000
Argentina,ARG,1982,,3.5841834415188742,,103206562.19853598,28795000
Argentina,ARG,1983,,3.5875491175831487,,104978862.2787181,29262000
Argentina,ARG,1984,,3.574099112106838,,106282985.29672104,29737000
Argentina,ARG,1985,,3.3216243247089743,,100366200.59540637,30216000
Argentina,ARG,1986,,3.385580648435738,,103933940.32632872,30699000
Argentina,ARG,1987,,3.675316308657056,,114611063.76916163,31184000
Argentina,ARG,1988,,3.8248480805193044,,121129113.86196585,31669000
Argentina,ARG,1989,,3.6332592514943065,,116802018.41703896,32148000
Argentina,ARG,1990,10815.7151226019,3.4302099340920065,3.2013960875950964,111890017.84014715,32619000
Argentina,ARG,1991,12015.6271048557,3.532301560123672,3.4013959860801424,116845003.30733094,33079000
Argentina,ARG,1992,13266.0528630404,3.6093147296291805,3.5125883278604144,121016713.5697368,33529000
Argentina,ARG,1993,13861.946177794,3.4608376660702165,3.415591557750337,117564655.51640525,33970000
Argentina,ARG,1994,14481.1082032399,3.546494482144798,3.4805088981394907,122010049.66922748,34403000
Argentina,ARG,1995,13893.5226589826,3.6636744169466975,3.491789931876377,127598452.59341958,34828000
Argentina,ARG,1996,14485.5076845653,3.8201116950221343,3.671421009948273,134643656.80275014,35246000
Argentina,ARG,1997,15479.3791285386,3.8578133952169624,3.8186695516931564,137558052.23325124,35657000
Argentina,ARG,1998,15894.5580528952,3.86419463949263,3.823897411824553,139354451.28402272,36063000
Argentina,ARG,1999,15186.130197286,4.017613172426932,3.713526532901926,146510299.55889294,36467000
Argentina,ARG,2000,14899.8700458711,3.843584506181439,3.475902440085732,141716804.32741582,36871000
Argentina,ARG,2001,14085.5751760246,3.5763120995220525,3.130488293335464,133310609.82178403,37276000
Argentina,ARG,2002,12412.6059887095,3.300838777773106,2.551534871759162,124382206.82404618,37682000
Argentina,ARG,2003,13361.4000434323,3.5344638763936254,2.9877934867465243,134620660.1240804,38088000
Argentina,ARG,2004,14410.1505153775,4.079643802766064,3.48513786896338,157033649.25607133,38492000
Argentina,ARG,2005,15518.6785097698,4.150484133779153,3.6006511457310606,161424779.4150726,38893000
Argentina,ARG,2006,16592.264892395,4.444324406882723,3.96597257323241,174617505.9464222,39290000
Argentina,ARG,2007,17900.7063421587,4.390507781688356,4.063883287547952,174232910.80852073,39684000
Argentina,ARG,2008,18436.8624668727,4.6916463142423295,4.406868922763713,188041184.27483258,40080000
Argentina,ARG,2009,17168.3789365496,4.4183332328165985,4.0672580632726705,178867384.26411435,40483000
Argentina,ARG,2010,18712.0630773436,4.564548990450399,4.330751478474836,186671795.51345953,40896000
Argentina,ARG,2011,19629.3518451916,4.603990464298805,4.469950484241464,190236885.98482662,41320000
Argentina,ARG,2012,19224.8743997107,4.591430780736795,4.480989511461614,191715192.24966487,41755000
Argentina,ARG,2013,19482.190295091,4.5567203875403,4.579953980554639,192275373.4726505,42196000
Argentina,ARG,2014,18797.5479465897,4.560043954390538,4.614327522866838,194431154.12730375,42638000
Argentina,ARG,2015,19116.9079145132,4.639797447255672,4.699685208382676,199859275.04053807,43075000
Argentina,ARG,2016,18584.580004917,4.59774827378503,4.594996460095472,200038831.8958391,43508000
Argentina,ARG,2017,18933.9071474396,4.541775860240221,4.591170501477393,199552005.97137457,43937000
Argentina,ARG,2018,,4.4077322843963005,,195531411.86810428,44361000
Australia,AUS,1851,,-0.07917308562509215,,-62288,786732
Australia,AUS,1852,,-0.06611904315061572,,-54960,831228
Australia,AUS,1853,,-0.1252937998262848,,-109920,877298
Australia,AUS,1854,,-0.13848258762878804,,-128239.99999999999,926037
Australia,AUS,1855,,-0.1349674921365146,,-131904,977302
Australia,AUS,1856,,-0.1777905448814374,,-183200,1030426
Australia,AUS,1857,,-0.1925152027167165,,-208848,1084839
Australia,AUS,1858,,-0.2151214553612114,,-245488,1141160
Australia,AUS,1859,,-0.31477873271766404,,-377392.00000000006,1198912
Australia,AUS,1860,,0.22169853381399435,,278464,1256048
Australia,AUS,1861,,0.38965571852757486,,509295.99999999994,1307041
Australia,AUS,1862,,0.2615603926702919,,355408,1358799
Australia,AUS,1863,,0.2833913064457302,,399375.99999999994,1409274
Australia,AUS,1864,,0.18342287135190294,,267472,1458226
Australia,AUS,1865,,0.27992227333875874,,421360.00000000006,1505275
Australia,AUS,1866,,0.449027137968,,696160,1550374
Australia,AUS,1867,,0.560612825387907,,894016,1594712
Australia,AUS,1868,,0.44739997606703186,,732800,1637908
Australia,AUS,1869,,0.3815667325224346,,641200,1680440
Australia,AUS,1870,,0.3485045061138038,,600896,1724213
Australia,AUS,1871,,0.39142245720894114,,692496.0000000001,1769178
Australia,AUS,1872,,0.38919599594046306,,707152,1816956
Australia,AUS,1873,,0.46684493876063266,,868368.0000000001,1860078
Australia,AUS,1874,,0.4660911408070031,,890352.0000000001,1910253
Australia,AUS,1875,,0.4218677719970737,,828064.0000000001,1962852
Australia,AUS,1876,,0.4612416297809556,,930656,2017719
Australia,AUS,1877,,0.5180507116599113,,1066224,2058146
Australia,AUS,1878,,0.4570210401582973,,967296,2116524
Australia,AUS,1879,,0.667568011616519,,1454608,2178966
Australia,AUS,1880,,0.97901515618904,,2205728.0000000005,2253007
Australia,AUS,1881,,0.7610412623116409,,1766048,2320568
Australia,AUS,1882,,0.8379029432922935,,2011536,2400679
Australia,AUS,1883,,0.9768714891204014,,2425568.0000000005,2482996
Australia,AUS,1884,,1.0035692826319362,,2572128,2562980
Australia,AUS,1885,,1.0962944740276623,,2905552.0000000005,2650339
Australia,AUS,1886,,1.054233720937875,,2887232,2738702
Australia,AUS,1887,,1.0718673817649926,,3033792,2830380
Australia,AUS,1888,,1.208301742576943,,3528432.0000000005,2920158
Australia,AUS,1889,,1.1394842412213873,,3425840,3006483
Australia,AUS,1890,,1.1482591342679764,,3546751.9999999995,3088808
Australia,AUS,1891,,1.265157031418909,,4008416.0000000005,3168315
Australia,AUS,1892,,1.279184932944132,,4151312,3245279
Australia,AUS,1893,,1.194546924961763,,3964447.9999999995,3318788
Australia,AUS,1894,,1.2869675994182885,,4360160.000000001,3387933
Australia,AUS,1895,,1.329396775389177,,4590992,3453440
Australia,AUS,1896,,1.2806856631255565,,4503056,3516129
Australia,AUS,1897,,1.3915245766804905,,4975712,3575727
Australia,AUS,1898,,1.5453208002607632,,5613248.000000001,3632416
Australia,AUS,1899,,1.5686407206556483,,5785456,3688197
Australia,AUS,1900,,2.715917671975932,,10167600,3743707
Australia,AUS,1901,,3.0113881939660136,,11439008.000000002,3798583
Australia,AUS,1902,,2.958217754695943,,11395039.999999998,3851995
Australia,AUS,1903,,2.872264362130815,,11219168,3906036
Australia,AUS,1904,,2.913693059991682,,11545264.000000002,3962416
Australia,AUS,1905,,2.9951489813656447,,12047232.000000002,4022248
Australia,AUS,1906,,3.513503011843305,,14359216,4086866
Australia,AUS,1907,,3.739282268802373,,15476736.000000002,4138959
Australia,AUS,1908,,3.9767567430294792,,16755472,4213351
Australia,AUS,1909,,3.383597556382412,,14553408.000000002,4301164
Australia,AUS,1910,,3.9555701545843576,,17436976,4408208
Australia,AUS,1911,,4.258202051232112,,19239664,4518260
Australia,AUS,1912,,4.453569230116564,,20785872,4667239
Australia,AUS,1913,,4.65320846196449,,22390704,4811885
Australia,AUS,1914,,4.980021068144339,,24479184,4915478
Australia,AUS,1915,,4.3935590484732545,,21793472,4960323
Australia,AUS,1916,,3.880832281201987,,19272640,4966110
Australia,AUS,1917,,4.163213035288465,,20760224.000000004,4986587
Australia,AUS,1918,,4.528284724663606,,22940304,5066003
Australia,AUS,1919,,4.178707126394359,,21738512,5202210
Australia,AUS,1920,,4.81388611497007,,25732272,5345426
Australia,AUS,1921,,4.23066469637298,,23152816,5472619
Australia,AUS,1922,,4.358133048324409,,24343616,5585790
Australia,AUS,1923,,4.355463555410272,,24849248,5705305
Australia,AUS,1924,,4.644363695508838,,27069632.000000004,5828491
Australia,AUS,1925,,4.744536473640609,,28234784,5951010
Australia,AUS,1926,,4.585582684523186,,27853728,6074196
Australia,AUS,1927,,4.664349851938234,,28894304.000000004,6194712
Australia,AUS,1928,,4.169217991714279,,26289200,6305547
Australia,AUS,1929,,3.696432531091024,,23654784,6399355
Australia,AUS,1930,,3.4031988317218897,,22031632,6473801
Australia,AUS,1931,,2.991240561820896,,19547440.000000004,6534894
Australia,AUS,1932,,3.0873580356037116,,20342528,6588976
Australia,AUS,1933,,3.249791701834786,,21580960,6640721
Australia,AUS,1934,,3.391985233266156,,22698479.999999996,6691798
Australia,AUS,1935,,3.7419572618160926,,25230304,6742542
Australia,AUS,1936,,3.9806969840288353,,27051312.000000004,6795622
Australia,AUS,1937,,4.210927643519476,,28857663.999999996,6853042
Australia,AUS,1938,,4.054037390301981,,28036928.000000004,6915804
Australia,AUS,1939,,4.603280067066634,,32144272,6982906
Australia,AUS,1940,,4.118097393509085,,29040864.000000004,7052010
Australia,AUS,1941,,4.852604542544462,,34547856,7119446
Australia,AUS,1942,,5.08120336126032,,36504432,7184210
Australia,AUS,1943,,4.826166053589432,,34991199.99999999,7250310
Australia,AUS,1944,,4.67205759844423,,34210768,7322420
Australia,AUS,1945,,4.417467849016053,,32697536,7401873
Australia,AUS,1946,,4.728388147058149,,35423552,7491676
Australia,AUS,1947,,5.00199052510576,,38017664.00000001,7600507
Australia,AUS,1948,,4.958580556676121,,38424368,7749066
Australia,AUS,1949,,4.736514470100577,,37651264,7949150
Australia,AUS,1950,,6.694854347560231,,54743824.00000001,8177000
Australia,AUS,1951,,7.029574660633484,,59034368,8398000
Australia,AUS,1952,,7.004868877254218,,60206848,8595000
Australia,AUS,1953,,6.768511956274198,,59441072.00000001,8782000
Australia,AUS,1954,,7.563688740245262,,67846288,8970000
Australia,AUS,1955,,7.71134889810168,,70682224,9166000
Australia,AUS,1956,,7.79323260776782,,73038176,9372000
Australia,AUS,1957,,7.773626786273079,,74525760,9587000
Australia,AUS,1958,,7.912955041288613,,77618176,9809000
Australia,AUS,1959,,8.346610543188532,,83708157.1376378,10029000
Australia,AUS,1960,,8.60368091738972,,88118899.95590551,10242000
Australia,AUS,1961,,8.663976263145443,,90503896.0448173,10446000
Australia,AUS,1962,,8.909466818913913,,94823455.35370077,10643000
Australia,AUS,1963,,9.306986118585801,,100934264.45606302,10845000
Australia,AUS,1964,,9.839653551876617,,108875766.55151477,11065000
Australia,AUS,1965,,10.682636690254608,,120852668.87685038,11313000
Australia,AUS,1966,,10.369990688108695,,120219302.0472441,11593000
Australia,AUS,1967,,10.852454767154107,,129144211.72913387,11900000
Australia,AUS,1968,,11.00989683255212,,134496899.7064567,12216000
Australia,AUS,1969,,11.352648173126456,,142123802.4793701,12519000
Australia,AUS,1970,,11.5281613853209,,147479768.60241026,12793000
Australia,AUS,1971,,11.711005612735741,,152629536.1507849,13033000
Australia,AUS,1972,,11.879760249774524,,157335544.7480138,13244000
Australia,AUS,1973,,12.717941815698152,,170827394.46845758,13432000
Australia,AUS,1974,,12.655401013472627,,172189386.18930855,13606000
Australia,AUS,1975,,12.757854216962965,,175713926.1302309,13773000
Australia,AUS,1976,,12.491008667101427,,174074696.7847255,13936000
Australia,AUS,1977,,13.311918419683353,,187604866.2885975,14093000
Australia,AUS,1978,,14.163813506564788,,201820178.65504166,14249000
Australia,AUS,1979,,14.214221537206457,,204869575.01575667,14413000
Australia,AUS,1980,,15.117288224776724,,220531000.62304285,14588000
Australia,AUS,1981,,15.573705299051369,,230132643.20408207,14777000
Australia,AUS,1982,,15.614436640542696,,233888646.43868905,14979000
Australia,AUS,1983,,14.793353976432401,,224785013.67189035,15195000
Australia,AUS,1984,,15.325241032066579,,236361192.43756285,15423000
Australia,AUS,1985,,15.384829697430355,,240987972.38054907,15664000
Australia,AUS,1986,,15.059820238368202,,239722218.55434504,15918000
Australia,AUS,1987,,15.809814228297071,,255850223.6565315,16183000
Australia,AUS,1988,,15.856965445720508,,260878795.5129938,16452000
Australia,AUS,1989,,16.601986827274253,,277485607.83106184,16714000
Australia,AUS,1990,28658.3658903333,16.415563688836418,13.862959131616833,278424375.7263545,16961000
Australia,AUS,1991,28185.7529003265,16.28206201008395,13.57002588015315,279872363.89133304,17189000
Australia,AUS,1992,27969.0661165142,16.37237813642166,13.57136956042561,284912124.3300097,17402000
Australia,AUS,1993,28815.4629795064,16.430997925526224,13.450887446182195,289234856.4830381,17603000
Australia,AUS,1994,29646.4192650494,16.51860275264758,13.690265949172451,294014610.3943743,17799000
Australia,AUS,1995,30412.0780548637,16.97381199914148,13.858176777010549,305409799.3005526,17993000
Australia,AUS,1996,31179.3078735732,17.17308318186174,13.882204368704446,312361209.99488324,18189000
Australia,AUS,1997,32055.3850594342,17.44682092806138,14.213510505987278,320794696.4042646,18387000
Australia,AUS,1998,33174.9076526314,18.006354254857754,14.832235152965662,334684106.5350411,18587000
Australia,AUS,1999,34443.8661779261,18.312930392111966,14.601971134529332,344063336.2069996,18788000
Australia,AUS,2000,35377.729551754,18.44002852812872,14.416504603228661,350194581.77769256,18991000
Australia,AUS,2001,35578.642071091,18.63343281012316,14.475070751213837,357668742.7903141,19195000
Australia,AUS,2002,36553.9646143988,18.669609495867462,15.12130014682832,362209093.8293246,19401000
Australia,AUS,2003,37183.6845735971,18.84047863794064,15.34727045114425,369725552.79094714,19624000
Australia,AUS,2004,38225.6937136627,19.275887873022214,16.07913884998287,383204650.9156816,19880000
Australia,AUS,2005,38928.0407567854,19.154314716395373,16.14634604231638,386514916.6621422,20179000
Australia,AUS,2006,39445.1329184684,19.130949682109613,16.793991507320275,392681873.1749819,20526000
Australia,AUS,2007,40680.1896301231,19.143976353838262,17.12059098229056,400415409.4168811,20916000
Australia,AUS,2008,41331.5279733539,18.98783691998827,17.18008178941613,405048537.17718977,21332000
Australia,AUS,2009,41266.8663842235,18.773616614278758,17.253424640427202,408344934.97717726,21751000
Australia,AUS,2010,41464.0400696359,18.34465998885103,17.305700917481094,406425942.0529946,22155000
Australia,AUS,2011,41894.1730524786,17.936981767547802,17.320563818528814,404263695.0769924,22538000
Australia,AUS,2012,42754.4562863267,17.76925362050282,17.48269326045307,406986984.92399657,22904000
Australia,AUS,2013,43118.0861274364,17.116817506137867,16.39363625356123,398051591.1052361,23255000
Australia,AUS,2014,43547.1974836868,16.66759331235894,15.874030315941843,393288531.7984215,23596000
Australia,AUS,2015,43923.2582693466,16.820055359904792,15.555454303186934,402537564.8732415,23932000
Australia,AUS,2016,44493.4808943831,17.028289645463246,15.368488620955615,413157391.66787475,24263000
Australia,AUS,2017,44648.7099113362,16.96324091563009,15.389211174673388,417041277.9107658,24585000
Australia,AUS,2018,,16.877695238710345,,420220856.0534102,24898000
Brazil,BRA,1901,,0.11360187230570853,,2103136,18513216
Brazil,BRA,1902,,0.13243405685725088,,2506176,18923954
Brazil,BRA,1903,,0.12616537148775442,,2440224.0000000005,19341472
Brazil,BRA,1904,,0.13256016353957942,,2619760,19762800
Brazil,BRA,1905,,0.1386633336827207,,2799296,20187716
Brazil,BRA,1906,,0.1554891652278503,,3206000,20618800
Brazil,BRA,1907,,0.1640633979489794,,3451488.0000000005,21037526
Brazil,BRA,1908,,0.16728410276420247,,3594384.0000000005,21486704
Brazil,BRA,1909,,0.16445479170110808,,3609040,21945484
Brazil,BRA,1910,,0.18733513708082367,,4198944,22414076
Brazil,BRA,1911,,0.2012434175788855,,4605648,22885956
Brazil,BRA,1912,,0.23920138659236648,,5591264.000000001,23374714
Brazil,BRA,1913,,0.25277223495078144,,6034608.000000001,23873698
Brazil,BRA,1914,,0.16844709949119868,,4107344.0000000005,24383584
Brazil,BRA,1915,,0.1262330229338712,,3143712,24904038
Brazil,BRA,1916,,0.11322122852430316,,2879904,25436078
Brazil,BRA,1917,,0.09618710966597986,,2498848,25979032
Brazil,BRA,1918,,0.08756376615385358,,2322976,26528964
Brazil,BRA,1919,,0.1133354210693313,,3070432,27091548
Brazil,BRA,1920,,0.13179920916425458,,3645679.9999999995,27660864
Brazil,BRA,1921,,0.10238615425894974,,2890896,28235224
Brazil,BRA,1922,,0.1312266628982109,,3781248,28814632
Brazil,BRA,1923,,0.15700289558088595,,4616640,29404808
Brazil,BRA,1924,,0.17009150102362458,,5103952.000000001,30007096
Brazil,BRA,1925,,0.17553121243285347,,5375088,30621836
Brazil,BRA,1926,,0.175291234695842,,5477680,31249024
Brazil,BRA,1927,,0.19050182702522211,,6074912,31888996
Brazil,BRA,1928,,0.1821748890636779,,5928352,32542092
Brazil,BRA,1929,,0.19109624697759453,,6346048.000000001,33208648
Brazil,BRA,1930,,0.16271710584555463,,5514320.000000001,33889000
Brazil,BRA,1931,,0.12056833236446056,,4169632,34583144
Brazil,BRA,1932,,0.11814859043375524,,4169632,35291424
Brazil,BRA,1933,,0.13113994470176293,,4722896,36014168
Brazil,BRA,1934,,0.12581521969818507,,4623968.000000001,36752056
Brazil,BRA,1935,,0.1469308910833645,,5510656.000000001,37505088
Brazil,BRA,1936,,0.1345043651368465,,5147920.000000001,38273256
Brazil,BRA,1937,,0.15591393554690502,,6089568.000000001,39057240
Brazil,BRA,1938,,0.1529678220663598,,6096896,39857376
Brazil,BRA,1939,,0.14629335693563458,,5950336.000000001,40674000
Brazil,BRA,1940,,0.15619023668043708,,6488944,41545132
Brazil,BRA,1941,,0.14792094862851046,,6283760,42480528
Brazil,BRA,1942,,0.1349893778904474,,5869728.000000001,43482888
Brazil,BRA,1943,,0.14551788126551446,,6477952,44516536
Brazil,BRA,1944,,0.12943564772678404,,5899040.000000001,45575080
Brazil,BRA,1945,,0.1462976285921408,,6826032.000000002,46658528
Brazil,BRA,1946,,0.15624656934772327,,7463568.000000001,47767884
Brazil,BRA,1947,,0.1830371022236371,,8951152,48903484
Brazil,BRA,1948,,0.1568309692165211,,7851952.000000002,50066336
Brazil,BRA,1949,,0.1419616176638917,,7371968.000000002,51929304
Brazil,BRA,1950,,0.36432955998147293,,19664688,53975000
Brazil,BRA,1951,,0.38962040067618603,,21665232,55606000
Brazil,BRA,1952,,0.43538942811256204,,24940848.000000004,57284000
Brazil,BRA,1953,,0.4275774165663825,,25226640,58999000
Brazil,BRA,1954,,0.4886620026667105,,29685727.999999996,60749000
Brazil,BRA,1955,,0.5442622573320114,,34034896,62534000
Brazil,BRA,1956,,0.5690484181739077,,36621680.00000001,64356000
Brazil,BRA,1957,,0.5434500838102717,,35987808,66221000
Brazil,BRA,1958,,0.573367067801585,,39069232,68140000
Brazil,BRA,1959,,0.5564091709898725,,39017080.29732283,70123000
Brazil,BRA,1960,,0.6491059827574338,,46851820.72944882,72179000
Brazil,BRA,1961,,0.6613355046343514,,49144502.68488329,74311000
Brazil,BRA,1962,,0.7009364224241186,,53631449.42535901,76514000
Brazil,BRA,1963,,0.7052027761620628,,55550938.28661418,78773000
Brazil,BRA,1964,,0.6990276543695357,,56666676.80146641,81065000
Brazil,BRA,1965,,0.6756256815309123,,56329615.57195828,83374000
Brazil,BRA,1966,,0.7492868515443263,,64211635.31679413,85697000
Brazil,BRA,1967,,0.7505953053074923,,66079408.29805039,88036000
Brazil,BRA,1968,,0.8548948107594417,,77271377.26011366,90387000
Brazil,BRA,1969,,0.9071205473942238,,84132709.40917207,92747000
Brazil,BRA,1970,,0.9833617739275148,,93530488.40356772,95113000
Brazil,BRA,1971,,1.0500081158967518,,102357941.16196306,97483000
Brazil,BRA,1972,,1.1417531534349663,,114014328.1488623,99859000
Brazil,BRA,1973,,1.2910316927375205,,132019609.86764611,102259000
Brazil,BRA,1974,,1.3650346085673866,,142927313.7246568,104706000
Brazil,BRA,1975,,1.4038357935751753,,150513658.443956,107216000
Brazil,BRA,1976,,1.406290814722522,,154398074.8392004,109791000
Brazil,BRA,1977,,1.4416574473933452,,162078338.52319685,112425000
Brazil,BRA,1978,,1.528231134047551,,175931496.3826881,115121000
Brazil,BRA,1979,,1.5877015079539984,,187155078.35460144,117878000
Brazil,BRA,1980,,1.5390852377159385,,185758353.6808875,120694000
Brazil,BRA,1981,,1.3795250490992246,,170467910.31719118,123570000
Brazil,BRA,1982,,1.3501347478491519,,170789345.333422,126498000
Brazil,BRA,1983,,1.2779313633643545,,165426937.05615234,129449000
Brazil,BRA,1984,,1.2660562374053597,,167605588.93267113,132384000
Brazil,BRA,1985,,1.3301652929305108,,179936779.83588192,135274000
Brazil,BRA,1986,,1.4280476182825468,,197226217.0890033,138108992
Brazil,BRA,1987,,1.4606133889421828,,205788741.59484202,140892000
Brazil,BRA,1988,,1.4451427824098042,,207562967.55195537,143628000
Brazil,BRA,1989,,1.4495765927160331,,212113643.6589517,146328000
Brazil,BRA,1990,10344.8643896104,1.3887043139424409,1.5722946019774058,206921120.00000003,149003008
Brazil,BRA,1991,10319.9293352146,1.4324468574733238,1.613131543360012,217227701.04211462,151648000
Brazil,BRA,1992,10099.7756199842,1.415692405371884,1.575046447664919,218383306.0858007,154259008
Brazil,BRA,1993,10398.160357612,1.4557518865024008,1.6090527706995918,228333215.99999997,156848992
Brazil,BRA,1994,10776.4331121153,1.5020136461371167,1.6674031104884437,239470529.62846977,159432992
Brazil,BRA,1995,11072.7252903522,1.577481643378712,1.7697143466975136,255583575.8602189,162020000
Brazil,BRA,1996,11137.5892630004,1.7081965211823216,1.9182578189476376,281194784.00000006,164615008
Brazil,BRA,1997,11334.8207534073,1.7737412567644755,2.00120378377537,296585487.6124011,167208992
Brazil,BRA,1998,11197.7019378884,1.8158582961886198,2.0331205486348085,308305486.29151845,169784992
Brazil,BRA,1999,11081.6546205381,1.835447195703448,1.9433294923434312,316282440,172319008
Brazil,BRA,2000,11370.970939251,1.8549461639681906,1.974473634411895,324226040,174790000
Brazil,BRA,2001,11368.466449571,1.8792038194993115,1.9635889709818533,332987400,177196000
Brazil,BRA,2002,11559.5605966069,1.8237633927079506,1.8629070488344037,327434832.00000006,179538000
Brazil,BRA,2003,11541.9750323446,1.7463836705409421,1.7658970394331357,317508254.78630877,181808992
Brazil,BRA,2004,12058.2077119511,1.8133927371933523,1.8240530931155068,333675144,184006000
Brazil,BRA,2005,12298.5879484653,1.8379195780120208,1.855800114746998,342086472,186127008
Brazil,BRA,2006,12643.5650089807,1.8172493235370997,1.8719411476406507,341946368,188167008
Brazil,BRA,2007,13268.41390244,1.877235323199916,1.9644601506827082,356918752,190130000
Brazil,BRA,2008,13802.8179924238,1.9806524159037564,2.1906744851522655,380344683.42599833,192030000
Brazil,BRA,2009,13649.8658402957,1.8572197266564658,1.9872652527023162,360090776,193887008
Brazil,BRA,2010,14537.5671930903,2.1012303258836873,2.3414431913564884,411240192,195714000
Brazil,BRA,2011,14973.0984736747,2.1768440401247893,2.458771917682543,429959368.00000006,197515008
Brazil,BRA,2012,15119.9121381768,2.308720496220205,2.585255919967052,460097999.99999994,199287008
Brazil,BRA,2013,15432.8936308141,2.462478202908932,2.7465250115395996,495046768,201036000
Brazil,BRA,2014,15374.2615071807,2.583762896997182,2.863586245434563,523894100.0467366,202764000
Brazil,BRA,2015,14702.5912680317,2.4219142156693856,2.661050224672788,495213643.50635064,204472000
Brazil,BRA,2016,14077.1214085544,2.2030852240712253,2.447026814372948,454194676.6748778,206163008
Brazil,BRA,2017,14103.4515313404,2.2317793031314017,2.468567229887145,463839619.6870117,207834000
Brazil,BRA,2018,,2.1826161344123722,,457190401.5982961,209468992
Canada,CAN,1800,,0.005675991362083015,,3664,645526
Canada,CAN,1801,,0.005609874849571451,,3664.0000000000005,653134
Canada,CAN,1802,,0.0055445256888286285,,3664,660832
Canada,CAN,1803,,0.005479935568879829,,3664,668621
Canada,CAN,1804,,0.0054160963308312465,,3664,676502
Canada,CAN,1805,,0.00535300777968516,,3664,684475
Canada,CAN,1806,,0.005290646212581746,,3664,692543
