Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
Argentina,ARG,1961,83.45,2.05,8.69,6.94,0.9,102.03,20817000,2123958510,January,January-1961
Argentina,ARG,1962,86.1,2.39,7.31,6.45,0.79,103.04,21153000,2179605120,January,January-1962
Argentina,ARG,1963,86.62,2.86,6.85,5.67,0.82,102.82,21489000,2209498980,January,January-1963
Argentina,ARG,1964,65.32,3.88,6.79,5.83,1.25,83.07,21824000,1812919679.9999998,January,January-1964
Argentina,ARG,1965,66.96,5.73,9.45,6.55,1,89.69,22160000,1987530400,January,January-1965
Argentina,ARG,1966,76.7,5.41,9.78,6.64,0.88,99.41,22494000,2236128540,January,January-1966
Argentina,ARG,1967,79.57,5.49,9.19,6.96,0.83,102.03999999999998,22829000,2329471159.9999995,January,January-1967
Argentina,ARG,1968,83.97,5.95,7.8,7.97,0.59,106.28,23168000,2462295040,January,January-1968
Argentina,ARG,1969,89.57,6.19,8.62,7,0.86,112.24,23518000,2639660320,January,January-1969
Argentina,ARG,1970,81.57,7.8,8.68,6.35,0.85,105.24999999999997,23881000,2513475249.9999995,January,January-1970
Argentina,ARG,1971,61.83,8.7,10.13,6.95,1.22,88.83,24260000,2155015800,January,January-1971
Argentina,ARG,1972,59.92,8.26,8.69,5.2,0.67,82.74000000000001,24653000,2039789220.0000002,January,January-1972
Argentina,ARG,1973,63.95,8.2,9.82,4.53,0.65,87.15,25056000,2183630400,January,January-1973
Argentina,ARG,1974,72.41,11.01,9.31,3.98,1.22,97.93,25462000,2493493660,January,January-1974
Argentina,ARG,1975,83.34,10.65,9.66,4.21,1.02,108.88,25866000,2816290080,January,January-1975
Argentina,ARG,1976,85.99,9.74,9.14,4.07,1.06,110,26265000,2889150000,January,January-1976
Argentina,ARG,1977,85.86,9.17,8.77,4.1,1.25,109.14999999999999,26661000,2910048150,January,January-1977
Argentina,ARG,1978,89.18,9.65,7.79,4.11,1.14,111.87000000000002,27061000,3027314070.0000005,January,January-1978
Argentina,ARG,1979,83.83,10.77,9.32,4.12,1.2,109.24,27471000,3000932040,January,January-1979
Argentina,ARG,1980,85.04,11.2,9.48,3.8,1.2,110.72000000000001,27897000,3088755840.0000005,January,January-1980
Argentina,ARG,1981,84.77,11.01,8.91,3.73,1.28,109.7,28339000,3108788300,January,January-1981
Argentina,ARG,1982,70.05,11.8,7.93,3.48,1.19,94.45,28795000,2719687750,January,January-1982
Argentina,ARG,1983,67.08,12.18,7.03,3.47,1.15,90.91,29262000,2660208420,January,January-1983
Argentina,ARG,1984,72.44,11.86,7.02,3.52,1.32,96.15999999999998,29737000,2859509919.9999995,January,January-1984
Argentina,ARG,1985,81.97,12.08,6.35,3.19,1.12,104.71,30216000,3163917360,January,January-1985
Argentina,ARG,1986,72.09,12.86,6.69,3.18,1.11,95.93,30699000,2944955070,January,January-1986
Argentina,ARG,1987,71.96,14.5,6.56,2.86,1.26,97.14,31184000,3029213760,January,January-1987
Argentina,ARG,1988,67.48,12.34,6,2.65,0.93,89.40000000000002,31669000,2831208600.0000005,January,January-1988
Argentina,ARG,1989,65.9,10.82,5.22,2.61,1,85.55,32148000,2750261400,January,January-1989
Argentina,ARG,1990,64.22,11.35,4.25,2.57,1.36,83.74999999999999,32619000,2731841249.9999995,January,January-1990
Argentina,ARG,1991,66.07,12.46,4.53,2.65,1.32,87.03,33079000,2878865370,January,January-1991
Argentina,ARG,1992,65.05,16.08,5.48,2.14,1.61,90.36,33529000,3029680440,January,January-1992
Argentina,ARG,1993,64.78,22.46,7.62,2.13,1.58,98.57000000000001,33970000,3348422900.0000005,January,January-1993
Argentina,ARG,1994,61.52,23.47,7.86,2.71,1.61,97.17,34403000,3342939510,January,January-1994
Argentina,ARG,1995,55.98,23.86,6.94,2.54,1.56,90.88000000000001,34828000,3165168640.0000005,January,January-1995
Argentina,ARG,1996,54.47,23.01,6.56,2.04,1.7,87.78000000000002,35246000,3093893880.0000005,January,January-1996
Argentina,ARG,1997,56.22,23.89,6.13,1.46,1.51,89.21,35657000,3180960970,January,January-1997
Argentina,ARG,1998,56.29,27.04,7.19,1.22,1.51,93.25,36063000,3362874750,January,January-1998
Argentina,ARG,1999,60.28,27.96,7.96,1.78,1.89,99.87,36467000,3641959290,January,January-1999
Argentina,ARG,2000,59.09,27.82,7.97,2.03,1.85,98.75999999999999,36871000,3641379959.9999995,January,January-2000
Argentina,ARG,2001,56.76,26.8,7.29,1.73,1.6,94.18,37276000,3510653680.0000005,January,January-2001
Argentina,ARG,2002,52.91,18.96,4.78,1.44,1.58,79.67,37682000,3002124940,January,January-2002
Argentina,ARG,2003,55.36,19.65,5.12,1.6,1.72,83.44999999999999,38088000,3178443599.9999995,January,January-2003
Argentina,ARG,2004,56.53,22,5.12,2.07,1.54,87.26,38492000,3358811920,January,January-2004
Argentina,ARG,2005,56.04,24.35,5.44,2.37,1.59,89.79,38893000,3492202470.0000005,January,January-2005
Argentina,ARG,2006,55.59,27.78,6.59,2.21,1.62,93.79,39290000,3685009100.0000005,January,January-2006
Argentina,ARG,2007,55.11,28.95,7.03,2.39,1.46,94.94,39684000,3767598960,January,January-2007
Argentina,ARG,2008,54.69,31.57,7.75,2.05,1.26,97.32,40080000,3900585599.9999995,January,January-2008
Argentina,ARG,2009,54.57,33.46,8.18,2.09,1.35,99.65,40483000,4034130950,January,January-2009
Argentina,ARG,2010,54.65,34.63,8.25,1.92,1.24,100.69,40896000,4117818240,January,January-2010
Argentina,ARG,2011,54.94,38.47,9.02,1.71,1.2,105.33999999999999,41320000,4352648800,January,January-2011
Argentina,ARG,2012,55.29,39.43,8.92,1.6,1.03,106.27,41755000,4437303850,January,January-2012
Argentina,ARG,2013,55.48,38.66,10.51,1.56,1.04,107.25,42196000,4525521000,January,January-2013
Argentina,ARG,2014,54.05,36.88,10.02,1.49,1.03,103.47,42638000,4411753860,January,January-2014
Argentina,ARG,2015,54.26,42.24,9.99,1.46,0.99,108.93999999999998,43075000,4692590499.999999,January,January-2015
Argentina,ARG,2016,53.82,41.85,10.15,1.32,1.04,108.18,43508000,4706695440,January,January-2016
Argentina,ARG,2017,54.16,42.24,10.7,1.28,1,109.38000000000001,43937000,4805829060,January,January-2017
Australia,AUS,1961,41.25,4.8,10.34,46.12,2.44,104.94999999999999,10446000,1096307700,January,January-1961
Australia,AUS,1962,49.59,4.66,11.32,44.71,2.14,112.42,10643000,1196486060,January,January-1962
Australia,AUS,1963,51.9,4.67,10.81,42.5,2.68,112.56,10845000,1220713200,January,January-1963
Australia,AUS,1964,55.02,5.31,10.39,40.76,2.36,113.83999999999999,11065000,1259639599.9999998,January,January-1964
Australia,AUS,1965,52.16,6.31,10.8,38.71,2.12,110.1,11313000,1245561300,January,January-1965
Australia,AUS,1966,48.43,5.91,11.52,37.83,2.15,105.84,11593000,1227003120,January,January-1966
Australia,AUS,1967,43.42,7.36,11.65,37.16,1.84,101.43,11900000,1207017000,January,January-1967
Australia,AUS,1968,45.14,8.28,11.94,37.3,1.66,104.32,12216000,1274373120,January,January-1968
Australia,AUS,1969,46.49,8.56,12.65,39.3,1.93,108.93,12519000,1363694670,January,January-1969
Australia,AUS,1970,44.12,9.47,13.06,36.73,1.61,104.99,12793000,1343137070,January,January-1970
Australia,AUS,1971,45.11,11.36,13.55,40.61,1.2,111.83,13033000,1457480390,January,January-1971
Australia,AUS,1972,46.31,11.99,14.12,42.8,1.06,116.28,13244000,1540012320,January,January-1972
Australia,AUS,1973,48.12,11.58,15.84,33.55,1.66,110.74999999999999,13432000,1487593999.9999998,January,January-1973
Australia,AUS,1974,40.83,13.79,14.67,23.63,1.84,94.75999999999999,13606000,1289304559.9999998,January,January-1974
Australia,AUS,1975,70.99,13.29,12.5,26.34,2.01,125.13000000000001,13773000,1723415490.0000002,January,January-1975
Australia,AUS,1976,78.47,14.18,11.82,23.41,1.88,129.76,13936000,1808335359.9999998,January,January-1976
Australia,AUS,1977,78.75,15.04,12.63,17.88,1.64,125.93999999999998,14093000,1774872419.9999998,January,January-1977
Australia,AUS,1978,80.94,16.71,13.57,17.23,1.66,130.10999999999999,14249000,1853937389.9999998,January,January-1978
Australia,AUS,1979,62.15,18.21,13.21,18.22,1.68,113.47,14413000,1635443110,January,January-1979
Australia,AUS,1980,52.57,20.76,14.61,20.08,2.64,110.66,14588000,1614308080,January,January-1980
Australia,AUS,1981,51.63,19.79,15.34,20.51,2.29,109.56000000000002,14777000,1618968120.0000002,January,January-1981
Australia,AUS,1982,56.35,18.67,14.95,19.78,2.88,112.63000000000001,14979000,1687084770.0000002,January,January-1982
Australia,AUS,1983,48.45,20.32,15.4,20.6,2.55,107.32000000000001,15195000,1630727400,January,January-1983
Australia,AUS,1984,47.66,19.08,16.11,22.03,2.31,107.19,15423000,1653191370,January,January-1984
Australia,AUS,1985,47.88,21.78,16.17,23.48,2.87,112.18,15664000,1757187520,January,January-1985
Australia,AUS,1986,45.99,22.15,16.69,23.75,3.41,111.99,15918000,1782656820,January,January-1986
Australia,AUS,1987,46.18,23.09,17.01,22.03,3.8,112.11,16183000,1814276130,January,January-1987
Australia,AUS,1988,43.77,23.15,17.36,22.54,3.64,110.46,16452000,1817287920,January,January-1988
Australia,AUS,1989,45.8,23.31,17.8,21.46,3.5,111.87,16714000,1869795180,January,January-1989
Australia,AUS,1990,46.56,23.97,18.14,22.85,3.73,115.25000000000001,16961000,1954755250.0000002,January,January-1990
Australia,AUS,1991,44.53,23.85,17.91,21.65,4.18,112.12,17189000,1927230680,January,January-1991
Australia,AUS,1992,43.3,25.01,19.15,20.87,3.81,112.14000000000001,17402000,1951460280.0000002,January,January-1992
Australia,AUS,1993,42.02,25.75,18.39,20.65,4,110.81,17603000,1950588430,January,January-1993
Australia,AUS,1994,42.01,26.57,19.06,19.79,4.26,111.69000000000001,17799000,1987970310.0000002,January,January-1994
Australia,AUS,1995,40.85,26.16,19.33,18.24,4.19,108.77,17993000,1957098610,January,January-1995
Australia,AUS,1996,42.09,26.76,18.38,16.44,3.96,107.63,18189000,1957682070,January,January-1996
Australia,AUS,1997,36.76,30.86,18.81,16.75,2.71,105.89,18387000,1946999430,January,January-1997
Australia,AUS,1998,39.13,32.55,19.44,16.76,2.83,110.71000000000001,18587000,2057766770.0000002,January,January-1998
Australia,AUS,1999,42.19,30.82,18.8,15.82,2.74,110.36999999999999,18788000,2073631559.9999998,January,January-1999
Australia,AUS,2000,39.2,32.37,18.86,17.6,3.03,111.06,18991000,2109140460,January,January-2000
Australia,AUS,2001,42.32,31.62,17.69,14.88,3.45,109.96,19195000,2110682199.9999998,January,January-2001
Australia,AUS,2002,38.81,33.68,19.79,14.46,3.98,110.72000000000001,19401000,2148078720.0000005,January,January-2002
Australia,AUS,2003,45.51,34.61,20.77,13.43,3.56,117.88,19624000,2313277120,January,January-2003
Australia,AUS,2004,36.95,34.39,20.26,12.91,3.23,107.74000000000001,19880000,2141871200.0000002,January,January-2004
Australia,AUS,2005,42.39,36.92,21.78,12.86,3.33,117.28,20179000,2366593120,January,January-2005
Australia,AUS,2006,35.49,37.56,21.58,13.58,3.59,111.80000000000001,20526000,2294806800,January,January-2006
Australia,AUS,2007,43.2,39.04,22.73,14.26,2.87,122.10000000000002,20916000,2553843600.0000005,January,January-2007
Australia,AUS,2008,37.81,37.28,22.3,12.43,2.56,112.38,21332000,2397290160,January,January-2008
Australia,AUS,2009,38.51,38.25,21.58,11.43,2.51,112.27999999999999,21751000,2442202279.9999995,January,January-2009
Australia,AUS,2010,37.25,40.13,22.34,10.08,2.15,111.95,22155000,2480252250,January,January-2010
Australia,AUS,2011,41.37,45.26,23.09,9.06,2.33,121.11,22538000,2729577180,January,January-2011
Australia,AUS,2012,35.51,45.58,24.15,9.85,2.24,117.33,22904000,2687326320,January,January-2012
Australia,AUS,2013,33.86,46.12,24.14,9.87,2.23,116.22,23255000,2702696100,January,January-2013
Australia,AUS,2014,35.38,46.73,25.08,9.95,2.33,119.47,23596000,2819014120,January,January-2014
Australia,AUS,2015,37.09,47.21,26.63,9.99,2.33,123.25,23932000,2949619000,January,January-2015
Australia,AUS,2016,37.21,47.42,26.1,10.02,2.29,123.03999999999999,24263000,2985319520,January,January-2016
Australia,AUS,2017,35.7,47.65,25.92,10.07,2.26,121.60000000000001,24585000,2989536000,January,January-2017
Brazil,BRA,1961,17.59,1.73,7.01,0.57,0.6,27.5,74311000,2043552500,January,January-1961
Brazil,BRA,1962,17.03,1.78,7.5,0.59,0.58,27.48,76514000,2102604720,January,January-1962
Brazil,BRA,1963,16.72,2.08,7.13,0.59,0.59,27.109999999999996,78773000,2135536029.9999998,January,January-1963
Brazil,BRA,1964,17.06,2.14,6.95,0.61,0.56,27.319999999999997,81065000,2214695799.9999995,January,January-1964
Brazil,BRA,1965,16.79,2.65,6.97,0.64,0.54,27.589999999999996,83374000,2300288659.9999995,January,January-1965
Brazil,BRA,1966,16.15,2.77,7.56,0.61,0.51,27.599999999999998,85697000,2365237200,January,January-1966
Brazil,BRA,1967,16.56,3.04,7.41,0.58,0.46,28.049999999999997,88036000,2469409799.9999995,January,January-1967
Brazil,BRA,1968,17.58,3.19,7.77,0.62,0.4,29.56,90387000,2671839720,January,January-1968
Brazil,BRA,1969,18.14,3.55,7.59,0.6,0.32,30.200000000000003,92747000,2800959400.0000005,January,January-1969
Brazil,BRA,1970,17.75,3.94,7.88,0.59,0.3,30.46,95113000,2897141980,January,January-1970
Brazil,BRA,1971,16.56,3.87,8.04,0.6,0.22,29.29,97483000,2855277070,January,January-1971
Brazil,BRA,1972,18.48,4.33,7.57,0.56,0.12,31.060000000000002,99859000,3101620540,January,January-1972
Brazil,BRA,1973,19.54,5.08,6.67,0.56,0.14,31.99,102259000,3271265410,January,January-1973
Brazil,BRA,1974,18.67,5.22,6.74,0.57,0.11,31.310000000000002,104706000,3278344860,January,January-1974
Brazil,BRA,1975,19.24,5.09,6.89,0.58,0.13,31.929999999999996,107216000,3423406879.9999995,January,January-1975
Brazil,BRA,1976,20.11,5.43,6.89,0.58,0.18,33.19,109791000,3643963289.9999995,January,January-1976
Brazil,BRA,1977,20.03,6.02,7.15,0.49,0.11,33.800000000000004,112425000,3799965000.0000005,January,January-1977
Brazil,BRA,1978,21.94,7.11,7.18,0.4,0.12,36.75,115121000,4230696750,January,January-1978
Brazil,BRA,1979,22.25,8.72,7.47,0.43,0.16,39.029999999999994,117878000,4600778339.999999,January,January-1979
Brazil,BRA,1980,22.48,10.07,7.95,0.42,0.08,41,120694000,4948454000,January,January-1980
Brazil,BRA,1981,22.19,9.82,7.76,0.4,0.07,40.24,123570000,4972456800,January,January-1981
Brazil,BRA,1982,21.12,10.42,6.71,0.39,0.09,38.730000000000004,126498000,4899267540.000001,January,January-1982
Brazil,BRA,1983,21.5,10.14,6.68,0.45,0.07,38.84,129449000,5027799160,January,January-1983
Brazil,BRA,1984,22.2,8.41,5.55,0.5,0.09,36.75,132384000,4865112000,January,January-1984
Brazil,BRA,1985,22.22,9.21,5.69,0.57,0.07,37.76,135274000,5107946240,January,January-1985
Brazil,BRA,1986,26.68,10.29,6.14,0.76,0.07,43.94,138108992,6068509108.48,January,January-1986
Brazil,BRA,1987,24.93,11.54,7.23,0.68,0.05,44.43,140892000,6259831560,January,January-1987
Brazil,BRA,1988,24.44,12.12,7.48,0.72,0.06,44.82000000000001,143628000,6437406960.000001,January,January-1988
Brazil,BRA,1989,27.81,12.9,7.2,0.74,0.06,48.71000000000001,146328000,7127636880.000001,January,January-1989
Brazil,BRA,1990,27.51,14.14,6.94,0.76,0.05,49.4,149003008,7360748595.2,January,January-1990
Brazil,BRA,1991,28.4,15.63,7.78,0.76,0.07,52.64,151648000,7982750720,January,January-1991
Brazil,BRA,1992,28.36,16.6,7.87,0.76,0.09,53.68,154259008,8280623549.44,January,January-1992
Brazil,BRA,1993,27.99,17.22,9.25,0.78,0.06,55.3,156848992,8673749257.6,January,January-1993
Brazil,BRA,1994,30.45,18.85,10.41,0.79,0.06,60.559999999999995,159432992,9655261995.519999,January,January-1994
Brazil,BRA,1995,34.36,22.9,10.85,0.86,0.05,69.02,162020000,11182620400,January,January-1995
Brazil,BRA,1996,36.89,21.71,11,0.62,0.03,70.25,164615008,11564204312,January,January-1996
Brazil,BRA,1997,34.52,25,11.76,0.62,0.03,71.93,167208992,12027342794.560001,January,January-1997
Brazil,BRA,1998,32.56,25.57,13.45,0.61,0.03,72.22,169784992,12261872122.24,January,January-1998
Brazil,BRA,1999,34.43,28.16,13.2,0.61,0.03,76.43,172319008,13170341781.44,January,January-1999
Brazil,BRA,2000,34.87,29.59,13.85,0.63,0.04,78.97999999999999,174790000,13804914199.999998,January,January-2000
Brazil,BRA,2001,34.28,28.5,12.98,0.59,0.03,76.38000000000001,177196000,13534230480.000002,January,January-2001
Brazil,BRA,2002,34.94,30.78,12.37,0.57,0.03,78.69,179538000,14127845220,January,January-2002
Brazil,BRA,2003,33.34,32.42,13.33,0.55,0.03,79.67,181808992,14484722392.64,January,January-2003
Brazil,BRA,2004,33.43,34.15,13.02,0.59,0.02,81.21,184006000,14943127259.999998,January,January-2004
Brazil,BRA,2005,36.15,27.54,10.22,0.59,0.02,74.52,186127008,13870184636.16,January,January-2005
Brazil,BRA,2006,36.61,29.59,11.06,0.6,0.04,77.9,188167008,14658209923.2,January,January-2006
Brazil,BRA,2007,37.19,31.68,11.02,0.6,0.05,80.53999999999999,190130000,15313070199.999998,January,January-2007
Brazil,BRA,2008,37.41,36.57,11.53,0.61,0.07,86.18999999999998,192030000,16551065699.999996,January,January-2008
Brazil,BRA,2009,37.83,35.04,11.68,0.6,0.07,85.22,193887008,16523050821.76,January,January-2009
Brazil,BRA,2010,38.69,37.74,12.33,0.6,0.1,89.46,195714000,17508574440,January,January-2010
Brazil,BRA,2011,39.07,40.63,12.57,0.6,0.11,92.98,197515008,18364945443.84,January,January-2011
Brazil,BRA,2012,39.32,40.84,12.65,0.61,0.11,93.53,199287008,18639313858.24,January,January-2012
Brazil,BRA,2013,39.25,45,12.6,0.62,0.11,97.58,201036000,19617092880,January,January-2013
Brazil,BRA,2014,38.79,44.49,12,0.61,0.35,96.24,202764000,19514007360,January,January-2014
Brazil,BRA,2015,37.92,46.16,12.86,0.6,0.34,97.88,204472000,20013719360,January,January-2015
Brazil,BRA,2016,37,46.32,13.04,0.6,0.3,97.25999999999998,206163008,20051414158.079994,January,January-2016
Brazil,BRA,2017,37.05,48.03,13.65,0.6,0.51,99.84,207834000,20750146560,January,January-2017
Canada,CAN,1961,36.64,13.85,26.27,1.62,0.25,78.63000000000001,18234000,1433739420.0000002,January,January-1961
Canada,CAN,1962,36.83,13.87,26.01,1.71,0.04,78.46,18597000,1459120620,January,January-1962
Canada,CAN,1963,38.08,14.91,26.27,1.83,0.01,81.1,18943000,1536277300,January,January-1963
Canada,CAN,1964,40.66,15.73,27.45,1.58,0.01,85.43,19284000,1647432120.0000002,January,January-1964
Canada,CAN,1965,43.14,16.39,25.12,1.33,0.02,86,19628000,1688008000,January,January-1965
Canada,CAN,1966,42.47,17.73,25.1,1.56,0.16,87.02000000000001,19976000,1738311520.0000002,January,January-1966
Canada,CAN,1967,42.63,18.27,28.82,1.67,0.24,91.63,20325000,1862379750,January,January-1967
Canada,CAN,1968,43.19,17.85,28.3,1.91,0.25,91.5,20675000,1891762500,January,January-1968
Canada,CAN,1969,42.56,19.44,27.15,1.82,0.35,91.32,21025000,1920002999.9999998,January,January-1969
Canada,CAN,1970,41.17,20.43,31.05,1.72,0.22,94.59,21374000,2021766660,January,January-1970
Canada,CAN,1971,42.8,19.58,32.66,1.27,0.23,96.53999999999999,21723000,2097138419.9999998,January,January-1971
Canada,CAN,1972,42.88,19.83,31.35,1.68,0.25,95.99000000000001,22072000,2118691280.0000002,January,January-1972
Canada,CAN,1973,42.77,20.2,29.39,1.38,0.23,93.97,22415000,2106337550,January,January-1973
Canada,CAN,1974,44.17,19.76,30.64,0.97,0.21,95.75,22746000,2177929500,January,January-1974
Canada,CAN,1975,49.69,18.39,26.27,1.11,0.14,95.6,23059000,2204440400,January,January-1975
Canada,CAN,1976,52.6,19.45,27.26,0.91,0.34,100.56,23355000,2348578800,January,January-1976
Canada,CAN,1977,50.09,20.01,27.17,0.77,0.17,98.21000000000001,23634000,2321095140,January,January-1977
Canada,CAN,1978,46.6,20.52,28.23,0.77,0.21,96.33,23902000,2302479660,January,January-1978
Canada,CAN,1979,40.4,21.9,31.76,0.94,0.18,95.18,24161000,2299643980,January,January-1979
Canada,CAN,1980,40.26,22.08,34.59,0.78,0.07,97.78,24417000,2387494260,January,January-1980
Canada,CAN,1981,41.53,21.88,33.33,0.68,0.14,97.56,24668000,2406610080,January,January-1981
Canada,CAN,1982,41.24,21.97,31.06,0.7,0.15,95.12,24917000,2370105040,January,January-1982
Canada,CAN,1983,41.01,22.08,31.78,0.75,0.04,95.66000000000001,25171000,2407857860.0000005,January,January-1983
Canada,CAN,1984,39.25,22.81,31.2,0.81,0.1,94.17,25445000,2396155650,January,January-1984
Canada,CAN,1985,39.54,24.34,31.79,0.71,0.07,96.44999999999997,25745000,2483105249.9999995,January,January-1985
Canada,CAN,1986,39.66,24.64,30.72,0.86,0.09,95.97,26076000,2502513720,January,January-1986
Canada,CAN,1987,37.49,25.84,30.48,0.84,0.15,94.80000000000001,26433000,2505848400.0000005,January,January-1987
Canada,CAN,1988,37.63,26.88,30.89,0.8,0.01,96.21000000000001,26806000,2579005260,January,January-1988
Canada,CAN,1989,36.99,26.82,29.28,0.76,0.02,93.87,27179000,2551292730,January,January-1989
Canada,CAN,1990,35.76,27.79,27.6,0.79,0.02,91.96000000000001,27541000,2532670360,January,January-1990
Canada,CAN,1991,34.99,27.75,27.41,0.83,0.02,91,27889000,2537899000,January,January-1991
Canada,CAN,1992,34.08,27.91,29.91,0.8,0.01,92.71,28224000,2616647040,January,January-1992
Canada,CAN,1993,32.53,28.94,29.12,0.81,0.01,91.41000000000001,28548000,2609572680.0000005,January,January-1993
Canada,CAN,1994,33.19,30.96,29.99,0.78,0.02,94.94,28861000,2740063340,January,January-1994
Canada,CAN,1995,33.36,30.41,29.2,0.75,0.01,93.73,29164000,2733541720,January,January-1995
Canada,CAN,1996,33.17,30.78,27.17,0.72,0.01,91.85000000000001,29458000,2705717300.0000005,January,January-1996
Canada,CAN,1997,33.39,31.89,26.84,0.71,0.01,92.84,29742000,2761247280,January,January-1997
Canada,CAN,1998,33.88,33.32,30.07,0.76,0.02,98.05000000000001,30022000,2943657100.0000005,January,January-1998
Canada,CAN,1999,34.62,34.81,31.82,0.78,0.02,102.05,30303000,3092421150,January,January-1999
Canada,CAN,2000,34.02,35.93,30.39,0.9,0.04,101.28000000000002,30588000,3097952640.0000005,January,January-2000
Canada,CAN,2001,32.74,36.7,30.83,0.98,0.03,101.28,30880000,3127526400,January,January-2001
Canada,CAN,2002,32.74,36.68,30.29,0.98,0.06,100.75000000000001,31178000,3141183500.0000005,January,January-2002
Canada,CAN,2003,34.59,36.25,27.29,1.03,0.03,99.19,31488000,3123294720,January,January-2003
Canada,CAN,2004,33.16,36.61,28.86,1.06,0.02,99.71,31815000,3172273650,January,January-2004
Canada,CAN,2005,32.39,36.68,25.24,1.07,0.01,95.38999999999999,32164000,3068123959.9999995,January,January-2005
Canada,CAN,2006,32.27,36.78,25.31,1.14,0.02,95.52000000000001,32537000,3107934240.0000005,January,January-2006
Canada,CAN,2007,32.79,37.48,27.34,1.16,0.02,98.78999999999999,32931000,3253253489.9999995,January,January-2007
Canada,CAN,2008,31.27,37.58,26.38,1.09,0.03,96.35,33338000,3212116300,January,January-2008
Canada,CAN,2009,30.8,36.54,25.82,1.1,0.04,94.3,33746000,3182247800,January,January-2009
Canada,CAN,2010,29.79,36.72,24.45,1.02,0.05,92.02999999999999,34148000,3142640439.9999995,January,January-2010
Canada,CAN,2011,29.33,37.05,24.43,1.02,0.06,91.89,34539000,3173788710,January,January-2011
Canada,CAN,2012,30.51,36.72,24.28,0.9,0.06,92.47000000000001,34922000,3229237340.0000005,January,January-2012
Canada,CAN,2013,30.25,36.68,22.81,0.97,0.05,90.76,35297000,3203555720,January,January-2013
Canada,CAN,2014,28.44,37.05,22.86,0.98,0.02,89.35,35664000,3186578400,January,January-2014
Canada,CAN,2015,27.43,37.88,24.88,0.98,0.01,91.18,36027000,3284941860.0000005,January,January-2015
Canada,CAN,2016,21,38.57,23.26,0.98,0.02,83.83,36383000,3049986890,January,January-2016
Canada,CAN,2017,18.13,39.02,24.46,0.99,0.01,82.61000000000001,36732000,3034430520.0000005,January,January-2017
China,CHN,1961,0.09,0.94,2.04,0.15,0.11,3.33,670953024,2234273569.92,January,January-1961
China,CHN,1962,0.12,0.96,2.63,0.15,0.11,3.9699999999999998,682102976,2707948814.72,January,January-1962
China,CHN,1963,0.16,0.98,4.79,0.18,0.11,6.22,694339008,4318788629.76,January,January-1963
China,CHN,1964,0.17,0.99,6.32,0.2,0.13,7.8100000000000005,708254976,5531471362.56,January,January-1964
China,CHN,1965,0.19,1.01,7.11,0.22,0.13,8.660000000000002,724219008,6271736609.280002,January,January-1965
China,CHN,1966,0.2,1.01,7.54,0.26,0.14,9.15,742414976,6793097030.400001,January,January-1966
China,CHN,1967,0.2,1.03,7.83,0.26,0.14,9.46,762580992,7214016184.320001,January,January-1967
China,CHN,1968,0.2,1.02,7.49,0.26,0.14,9.110000000000001,784075008,7142923322.880001,January,January-1968
China,CHN,1969,0.2,1.04,7.06,0.26,0.14,8.7,805985984,7012078060.799999,January,January-1969
China,CHN,1970,0.19,1.03,6.78,0.26,0.14,8.4,827601024,6951848601.6,January,January-1970
China,CHN,1971,0.21,1.05,7.65,0.28,0.14,9.33,848760000,7918930800,January,January-1971
China,CHN,1972,0.22,1.08,8.3,0.3,0.15,10.050000000000002,869486016,8738334460.800003,January,January-1972
China,CHN,1973,0.24,1.1,8.11,0.32,0.14,9.91,889484992,8814796270.72,January,January-1973
China,CHN,1974,0.24,1.14,7.99,0.32,0.14,9.830000000000002,908464000,8930201120.000002,January,January-1974
China,CHN,1975,0.25,1.14,8.06,0.34,0.14,9.930000000000001,926241024,9197573368.320002,January,January-1975
China,CHN,1976,0.24,1.2,7.8,0.31,0.15,9.700000000000001,942684992,9144044422.400002,January,January-1976
China,CHN,1977,0.24,1.24,7.67,0.32,0.15,9.620000000000001,957891008,9214911496.960001,January,January-1977
China,CHN,1978,0.24,1.28,8.32,0.33,0.15,10.32,972204992,10033155517.44,January,January-1978
China,CHN,1979,0.27,1.3,10.22,0.39,0.13,12.310000000000002,986131968,12139284526.080002,January,January-1979
China,CHN,1980,0.29,1.33,11.39,0.45,0.15,13.610000000000001,1000089024,13611211616.640001,January,January-1980
China,CHN,1981,0.29,1.35,11.77,0.47,0.15,14.030000000000001,1014022016,14226728884.480001,January,January-1981
China,CHN,1982,0.29,1.39,12.38,0.52,0.16,14.74,1027948992,15151968142.08,January,January-1982
China,CHN,1983,0.32,1.41,12.62,0.53,0.18,15.059999999999999,1042430976,15699010498.56,January,January-1983
China,CHN,1984,0.36,1.43,13.63,0.56,0.19,16.17,1058172032,17110641757.440002,January,January-1984
China,CHN,1985,0.39,1.49,15.36,0.56,0.2,17.999999999999996,1075588992,19360601855.999996,January,January-1985
China,CHN,1986,0.5,1.71,15.67,0.57,0.23,18.68,1095014016,20454861818.88,January,January-1986
China,CHN,1987,0.67,1.98,16.44,0.65,0.26,20,1116094976,22321899520,January,January-1987
China,CHN,1988,0.73,2.43,17.6,0.71,0.27,21.740000000000002,1137724032,24734120455.680004,January,January-1988
